City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,71.46,79.0,100.0,9.62,PN,1717567454.0
1,quellon,-43.1167,-73.6167,53.01,94.0,100.0,18.9,CL,1717567454.0
2,olonkinbyen,70.9221,-8.7187,30.9,98.0,100.0,20.04,SJ,1717567454.0
3,grytviken,-54.2811,-36.5092,26.1,79.0,74.0,9.84,GS,1717567454.0
4,remire-montjoly,4.9167,-52.2667,77.04,100.0,0.0,0.0,GF,1717567454.0
5,laranjeiras do sul,-25.4078,-52.4161,58.93,90.0,68.0,3.09,BR,1717567454.0
6,mata-utu,-13.2816,-176.1745,82.47,75.0,99.0,11.95,WF,1717567454.0
7,bredasdorp,-34.5322,20.0403,59.61,89.0,100.0,11.41,ZA,1717567455.0
8,golere,16.2557,-14.1017,84.11,24.0,1.0,10.96,SN,1717567455.0
9,dudinka,69.4058,86.1778,28.67,92.0,100.0,5.01,RU,1717567455.0
10,longyearbyen,78.2186,15.6401,39.04,75.0,75.0,21.85,SJ,1717567455.0
11,hithadhoo,-0.6,73.0833,83.26,70.0,61.0,6.62,MV,1717567302.0
12,turpan,42.9333,89.1667,89.46,10.0,59.0,3.76,CN,1717567455.0
13,waitangi,-43.9535,-176.5597,47.82,87.0,90.0,4.0,NZ,1717567455.0
14,sosnovka,56.255,51.2842,72.27,63.0,24.0,8.1,RU,1717567455.0
15,olyokminsk,60.3736,120.4264,72.66,23.0,96.0,13.67,RU,1717567455.0
16,taiohae,,,,,,,,
17,hermanus,-34.4187,19.2345,58.8,89.0,87.0,12.17,ZA,1717567456.0
18,port mathurin,-19.6833,63.4167,73.42,66.0,40.0,21.68,MU,1717567456.0
19,georgiyevka,43.0369,74.7114,80.64,22.0,0.0,8.95,KZ,1717567456.0
20,nadym,65.5333,72.5167,35.71,99.0,64.0,9.89,RU,1717567456.0
21,moose jaw,50.4001,-105.5344,59.25,47.0,59.0,25.32,CA,1717567456.0
22,raichur,16.2,77.3667,86.16,56.0,99.0,6.76,IN,1717567456.0
23,vilyuchinsk,52.9306,158.4028,62.87,62.0,100.0,5.73,RU,1717567457.0
24,constantia,44.1833,28.65,72.7,61.0,40.0,16.96,RO,1717567206.0
25,edinburgh of the seven seas,-37.0676,-12.3116,59.22,78.0,100.0,18.3,SH,1717567457.0
26,tynda,55.1667,124.7167,64.81,48.0,17.0,5.77,RU,1717567457.0
27,tazovsky,67.4667,78.7,33.12,89.0,77.0,10.16,RU,1717567233.0
28,port-aux-francais,-49.35,70.2167,38.44,84.0,100.0,33.22,TF,1717567457.0
29,partille,57.7395,12.1064,60.13,93.0,100.0,18.41,SE,1717567457.0
30,camiri,-20.05,-63.5167,55.78,93.0,54.0,2.35,BO,1717567457.0
31,ushuaia,-54.8,-68.3,35.26,80.0,75.0,4.61,AR,1717567277.0
32,enewetak,11.3474,162.3373,82.35,85.0,94.0,18.34,MH,1717567458.0
33,huadian,42.9633,126.7478,80.15,50.0,100.0,9.78,CN,1717567423.0
34,nemuro,43.3236,145.575,46.17,83.0,97.0,4.47,JP,1717567275.0
35,north bend,43.4065,-124.2243,62.98,100.0,100.0,5.75,US,1717567208.0
36,holualoa,19.6228,-155.9522,76.84,86.0,100.0,10.36,US,1717567458.0
37,invercargill,-46.4,168.35,49.01,85.0,100.0,3.78,NZ,1717567458.0
38,east london,-33.0153,27.9116,56.34,100.0,100.0,8.05,ZA,1717567458.0
39,nova sintra,14.8667,-24.7167,75.47,78.0,39.0,17.45,CV,1717567458.0
40,kyzyl-suu,42.3414,78.0056,61.77,44.0,34.0,8.77,KG,1717567458.0
41,sukabumi,-6.9181,106.9267,88.59,51.0,16.0,4.97,ID,1717567231.0
42,college,64.8569,-147.8028,65.17,72.0,75.0,3.44,US,1717567459.0
43,puerto ayora,-0.7393,-90.3518,71.55,100.0,77.0,1.01,EC,1717567459.0
44,zhanaozen,43.3,52.8,90.18,17.0,7.0,8.43,KZ,1717567426.0
45,isafjordur,66.0755,-23.124,36.18,73.0,96.0,9.42,IS,1717567459.0
46,mount pearl,47.5166,-52.7813,46.33,98.0,100.0,11.5,CA,1717567459.0
47,ikwiriri,-7.9562,38.9716,79.11,81.0,60.0,1.05,TZ,1717567459.0
48,margaret river,-33.95,115.0667,67.26,69.0,79.0,16.49,AU,1717567459.0
49,korla,41.7597,86.1469,78.71,23.0,97.0,8.21,CN,1717567460.0
